city,district,province
Sewanagala,Ratnapura,Sabaragamuwa
"Sri Palabaddala",Ratnapura,Sabaragamuwa
Sudagala,Ratnapura,Sabaragamuwa
Thalakolahinna,Ratnapura,Sabaragamuwa
Thanjantenna,Ratnapura,Sabaragamuwa
Theppanawa,Ratnapura,Sabaragamuwa
Thunkama,Ratnapura,Sabaragamuwa
Udakarawita,Ratnapura,Sabaragamuwa
Udaniriella,Ratnapura,Sabaragamuwa
Udawalawe,Ratnapura,Sabaragamuwa
Ullinduwawa,Ratnapura,Sabaragamuwa
Veddagala,Ratnapura,Sabaragamuwa
Vijeriya,Ratnapura,Sabaragamuwa
Waleboda,Ratnapura,Sabaragamuwa
Watapotha,Ratnapura,Sabaragamuwa
Waturawa,Ratnapura,Sabaragamuwa
Weligepola,Ratnapura,Sabaragamuwa
Welipathayaya,Ratnapura,Sabaragamuwa
Wikiliya,Ratnapura,Sabaragamuwa
Agbopura,Trincomalee,Eastern
Buckmigama,Trincomalee,Eastern
"China Bay",Trincomalee,Eastern
Dehiwatte,Trincomalee,Eastern
Echchilampattai,Trincomalee,Eastern
Galmetiyawa,Trincomalee,Eastern
Gomarankadawala,Trincomalee,Eastern
Kaddaiparichchan,Trincomalee,Eastern
Kallar,Trincomalee,Eastern
Kanniya,Trincomalee,Eastern
Kantalai,Trincomalee,Eastern
"Kantalai Sugar Factory",Trincomalee,Eastern
Kiliveddy,Trincomalee,Eastern
Kinniya,Trincomalee,Eastern
Kuchchaveli,Trincomalee,Eastern
Kumburupiddy,Trincomalee,Eastern
Kurinchakerny,Trincomalee,Eastern
Lankapatuna,Trincomalee,Eastern
Mahadivulwewa,Trincomalee,Eastern
Maharugiramam,Trincomalee,Eastern
Mallikativu,Trincomalee,Eastern
Mawadichenai,Trincomalee,Eastern
Mullipothana,Trincomalee,Eastern
Mutur,Trincomalee,Eastern
Neelapola,Trincomalee,Eastern
Nilaveli,Trincomalee,Eastern
Pankulam,Trincomalee,Eastern
Pulmoddai,Trincomalee,Eastern
Rottawewa,Trincomalee,Eastern
Sampaltivu,Trincomalee,Eastern
Sampoor,Trincomalee,Eastern
Serunuwara,Trincomalee,Eastern
Seruwila,Trincomalee,Eastern
Sirajnagar,Trincomalee,Eastern
Somapura,Trincomalee,Eastern
Tampalakamam,Trincomalee,Eastern
Thuraineelavanai,Trincomalee,Eastern
Tiriyayi,Trincomalee,Eastern
Toppur,Trincomalee,Eastern
Trincomalee,Trincomalee,Eastern
Wanela,Trincomalee,Eastern
Vavuniya,Vavuniya,Northern
"Colombo 1 (Fort)",Colombo,Western
"Colombo 3 (Colpetty)",Colombo,Western
"Colombo 4 (Bambalapitiya)",Colombo,Western
"Colombo 5 (Havelock Town)",Colombo,Western
"Colombo 7 (Cinnamon Gardens)",Colombo,Western
"Colombo 9 (Dematagoda)",Colombo,Western
"Colombo 10 (Maradana)",Colombo,Western
"Colombo 11 (Pettah)",Colombo,Western
"Colombo 12 (Hulftsdorp)",Colombo,Western
"Colombo 14 (Grandpass)",Colombo,Western
"Colombo Secretariant",Colombo,Western
"Melle Street",Colombo,Western
"Rifel Street",Colombo,Western
"Gem & Jewelry",Colombo,Western
"Torington Square",Colombo,Western
"National Museum of Colombo",Colombo,Western
"Colombo Labour Sec",Colombo,Western
Polhengoda,Colombo,Western
"Anderson Plats",Colombo,Western
"Keppetipola Mawatha",Colombo,Western
Narahenpita,Colombo,Western
Kirulapana,Colombo,Western
"University of Colombo",Colombo,Western
"Colombo General Hospital",Colombo,Western
"Gothami Road",Colombo,Western
Wanathamulla,Colombo,Western
"Baseline Road",Colombo,Western
Kopiyawatta,Colombo,Western
Maligawatta,Colombo,Western
Panchikawatte,Colombo,Western
Sarasavipaya,Colombo,Western
Maligakanda,Colombo,Western
"Wolfendal Street",Colombo,Western
"Pettah Bus Stand",Colombo,Western
"Colombo Kachcheri",Colombo,Western
"Armour Street",Colombo,Western
"St. Anthony's",Colombo,Western
"Miraniya Street",Colombo,Western
"Wasala Road",Colombo,Western
"Nagalagam Street",Colombo,Western
"Aluth Mawatha Road",Colombo,Western
"Mutwal South",Colombo,Western
Beddagana,Colombo,Western
Madiwela,Colombo,Western
"Sri Perakumpura",Colombo,Western
"Mirihana North",Colombo,Western
Nawala-Koswatte,Colombo,Western
Nawala,Colombo,Western
Rajagiriya,Colombo,Western
"Parliament of Sri Lanka",Colombo,Western
Obeysekarapura,Colombo,Western
Kalapaluwawa,Colombo,Western
"Talangama North",Colombo,Western
"Talangama South",Colombo,Western
Jayawardhenegama,Colombo,Western
Isurupaya,Colombo,Western
Sethsiripaya,Colombo,Western
Malabe,Colombo,Western
Oruwala,Colombo,Western
"Panagoda Army Camp",Colombo,Western
Magammana-Dolekade,Colombo,Western
"Homagama Town",Colombo,Western
"Godagama Junction",Colombo,Western
Panagoda,Colombo,Western
Galawilawaththa,Colombo,Western
Kottawa,Colombo,Western
Pelenwatta,Colombo,Western
"Arawwala West",Colombo,Western
"Kottawa North",Colombo,Western
Rukmale-Pannipitiya,Colombo,Western
Malapalla,Colombo,Western
Mattegoda,Colombo,Western
Mirihana,Colombo,Western
Udahamulla,Colombo,Western
Kohuwala,Colombo,Western
Pamunuwa-Patiragoda,Colombo,Western
Sudanapura,Colombo,Western
Nawinna,Colombo,Western
"Vidyodaya University",Colombo,Western
Pepiliyana,Colombo,Western
Katuwawala,Colombo,Western
Suwarapola,Colombo,Western
Gorakapitiya,Colombo,Western
Makandana,Colombo,Western
Kesbewa,Colombo,Western
Bokundara,Colombo,Western
Kahathuduwa,Colombo,Western
"Ratmalana North",Colombo,Western
"Sirimal Uyana",Colombo,Western
Ratmalana,Colombo,Western
Koralawella,Colombo,Western
"Egodauyana North",Colombo,Western
"Egodauyana South",Colombo,Western
Indibedda,Colombo,Western
Moratumulla,Colombo,Western
Rawathawatta,Colombo,Western
Willorawatta,Colombo,Western
Lunawa,Colombo,Western
Laksapatiya,Colombo,Western
Angulana,Colombo,Western
Kaldemulla,Colombo,Western
Katubedda,Colombo,Western
Liyanwala,Colombo,Western
Poregedara,Colombo,Western
Dampe,Colombo,Western
Malagala,Colombo,Western
"Meepe Junction",Colombo,Western
Pinnawala-Waga,Colombo,Western
Angampitiya,Colombo,Western
Arukwathupura,Colombo,Western
Kandanapitiya,Colombo,Western
Gurulana,Colombo,Western
Udugamkanda,Colombo,Western
Wattala,Gampaha,Western
Bulnewa,Anuradhapura,"North Central"
Kebithigollewa,Anuradhapura,"North Central"
Madipola,Matale,Central
Karatota,Matara,Southern
Gangulandeniya,Hambantota,Southern
Idalgashinna,Badulla,Uva
Allaipiddi,Jaffna,Northern
Allaveddi,Jaffna,Northern
Alvai,Jaffna,Northern
Anaikoddai,Jaffna,Northern
Analaitivu,Jaffna,Northern
Araly,Jaffna,Northern
Atchuveli,Jaffna,Northern
Chankanai,Jaffna,Northern
Chavakachcheri,Jaffna,Northern
Chullipuram,Jaffna,Northern
Chundikuli,Jaffna,Northern
Chunnakam,Jaffna,Northern
"Delft West",Jaffna,Northern
Delft,Jaffna,Northern
Eluvaitivu,Jaffna,Northern
Erialai,Jaffna,Northern
Ilavalai,Jaffna,Northern
Kankesanthurai,Jaffna,Northern
Karainagar,Jaffna,Northern
Karaveddi,Jaffna,Northern
Kayts,Jaffna,Northern
Kodikamam,Jaffna,Northern
Kokuvil,Jaffna,Northern
Kondavil,Jaffna,Northern
Kopay,Jaffna,Northern
Kudatanai,Jaffna,Northern
Mallakam,Jaffna,Northern
Mandaitivu,Jaffna,Northern
Manipay,Jaffna,Northern
Mathagal,Jaffna,Northern
Meesalai,Jaffna,Northern
Mahiyampathy,Jaffna,Northern
Mirusuvil,Jaffna,Northern
Nagarkovil,Jaffna,Northern
Nagendramadam,Jaffna,Northern
Nainathivu,Jaffna,Northern
Neervely,Jaffna,Northern
Pandaterippu,Jaffna,Northern
"Point Pedro",Jaffna,Northern
Puloly,Jaffna,Northern
Pungudutivu,Jaffna,Northern
Puttur,Jaffna,Northern
Sandilipay,Jaffna,Northern
Sangarathai,Jaffna,Northern
Sithankerny,Jaffna,Northern
Sivankovilady,Jaffna,Northern
Thellippallai,Jaffna,Northern
Thondamanaru,Jaffna,Northern
Urumpirai,Jaffna,Northern
Vaddukoddai,Jaffna,Northern
Valvettithurai,Jaffna,Northern
Varany,Jaffna,Northern
Vasavilan,Jaffna,Northern
Velanai,Jaffna,Northern
Gurunagar,Jaffna,Northern
Kaitadi,Jaffna,Northern
Nallur,Jaffna,Northern
Thirunelvely,Jaffna,Northern
Vannarponnai,Jaffna,Northern
Akkarayankulam,Kilinochchi,Northern
Aliyawalai,Kilinochchi,Northern
Chempiyanpattu,Kilinochchi,Northern
"Elephant Pass",Kilinochchi,Northern
Eluthumadduval,Kilinochchi,Northern
Iranaitiv,Kilinochchi,Northern
Iyyakachchi,Kilinochchi,Northern
Kavutharimunai,Kilinochchi,Northern
Konavil,Kilinochchi,Northern
Mulliyan,Kilinochchi,Northern
Murasumoddai,Kilinochchi,Northern
Pallavarayankaddu,Kilinochchi,Northern
Paranthan,Kilinochchi,Northern
Puliyampokkanai,Kilinochchi,Northern
Punakari-Nallur,Kilinochchi,Northern
Ramanathapuram,Kilinochchi,Northern
Sivapuram,Kilinochchi,Northern
Skanthapuram,Kilinochchi,Northern
Thalaiyadi,Kilinochchi,Northern
Tharmapuram,Kilinochchi,Northern
Uruthirapuram,Kilinochchi,Northern
Vaddakachchi,Kilinochchi,Northern
Vannerikkulam,Kilinochchi,Northern
Veravil,Kilinochchi,Northern
Vinayagapuram,Kilinochchi,Northern
Ambalnagar,Kilinochchi,Northern
Cheddiyakurichchi,Kilinochchi,Northern
Chundikulam,Kilinochchi,Northern
Kalmadunagar,Kilinochchi,Northern
Karadipokku,Kilinochchi,Northern
Kilay,Kilinochchi,Northern
Kunchuparanthan,Kilinochchi,Northern
Muhamalai,Kilinochchi,Northern
Pallai,Kilinochchi,Northern
Sivanagar,Kilinochchi,Northern
Soranpattu,Kilinochchi,Northern
Thirunagar,Kilinochchi,Northern
Thiruvaiaru,Kilinochchi,Northern
Alampil,Mullaitivu,Northern
Karuppaddamurippu,Mullaitivu,Northern
Mankulam,Mullaitivu,Northern
Mullivaikkal,Mullaitivu,Northern
Mulliyawalai,Mullaitivu,Northern
Muththaiyankaddukulam,Mullaitivu,Northern
Naddankandal,Mullaitivu,Northern
Oddusudan,Mullaitivu,Northern
Puthukkudiyiruppu,Mullaitivu,Northern
Puthuvedduvan,Mullaitivu,Northern
Thunukkai,Mullaitivu,Northern
Udayarkaddu,Mullaitivu,Northern
Vavunakkulam,Mullaitivu,Northern
Visvamadukulam,Mullaitivu,Northern
Yogapuram,Mullaitivu,Northern
Ampalavanpokkanai,Mullaitivu,Northern
Ananthapuram,Mullaitivu,Northern
Ethawetunuwewa,Mullaitivu,Northern
Kokkilai,Mullaitivu,Northern
Kokkuthuoduvai,Mullaitivu,Northern
Kumulamunai,Mullaitivu,Northern
Mullathivu,Mullaitivu,Northern
Murukandy,Mullaitivu,Northern
Welioya,Mullaitivu,Northern
Nedunkerny,Vavuniya,Northern
Neriyakulam,Vavuniya,Northern
Alagalla,Vavuniya,Northern
Andiyapuliyankulam,Vavuniya,Northern
Asikulam,Vavuniya,Northern
Cheddikulam,Vavuniya,Northern
Chemamadukulam,Vavuniya,Northern
"Iranai lluppaikulam",Vavuniya,Northern
Kalmadhu,Vavuniya,Northern
"Iratta Periyakulama",Vavuniya,Northern
Kanagarayankulam,Vavuniya,Northern
Kannaddi,Vavuniya,Northern
"Kela Bogaswewa",Vavuniya,Northern
Kovilkulam,Vavuniya,Northern
Madukanda,Vavuniya,Northern
Mahakachchakodiya,Vavuniya,Northern
Mamaduwa,Vavuniya,Northern
Maradammaduwa,Vavuniya,Northern
Maraiyadithakulam,Vavuniya,Northern
Maruthodai,Vavuniya,Northern
Mathavuvaithakulam,Vavuniya,Northern
Nainamadu,Vavuniya,Northern
Nelukkulam,Vavuniya,Northern
Nochchimoddai,Vavuniya,Northern
Omanthai,Vavuniya,Northern
Palamoddai,Vavuniya,Northern
Pampaimadu,Vavuniya,Northern
"Pavakkulama Unit 1",Vavuniya,Northern
"Pavakkulama Unit 2",Vavuniya,Northern
Periyathambanai,Vavuniya,Northern
"Periya Ulukkulama",Vavuniya,Northern
Poovarasankulam,Vavuniya,Northern
Puliyankulam,Vavuniya,Northern
Sathirikulankulam,Vavuniya,Northern
Sinnasippikulam,Vavuniya,Northern
Thandikulam,Vavuniya,Northern
Vaarikkuttiyoor,Vavuniya,Northern
Aandankulam,Mannar,Northern
Adampan,Mannar,Northern
Arippu,Mannar,Northern
Athimottai,Mannar,Northern
Chilavathurai,Mannar,Northern
Erukkalampiddy,Mannar,Northern
Illuppaikadavai,Mannar,Northern
Karisal,Mannar,Northern
Kokkupadayan,Mannar,Northern
"Madhu Church",Mannar,Northern
"Madhu Road",Mannar,Northern
Marichchikaddi,Mannar,Northern
Mullikulam,Mannar,Northern
Murunkan,Mannar,Northern
Nanattan,Mannar,Northern
Palampiddy,Mannar,Northern
Pallimunai,Mannar,Northern
Pandaraveli,Mannar,Northern
Pappamoddai,Mannar,Northern
Parappankandal,Mannar,Northern
Parappukadanthan,Mannar,Northern
Periyakunchikulam,Mannar,Northern
Periyamadhu,Mannar,Northern
Periyapandivirichchan,Mannar,Northern
Pesalai,Mannar,Northern
Potkerny,Mannar,Northern
Puthuveli,Mannar,Northern
Sooriyakaddaikadhu,Mannar,Northern
Thalaimannar,Mannar,Northern
"Thalaimannar Pier",Mannar,Northern
"Thalaimannar West",Mannar,Northern
Thalvupadu,Mannar,Northern
Tharapuram,Mannar,Northern
Thiruketheeswaram,Mannar,Northern
Uyilankulam,Mannar,Northern
Uyirtharasankulam,Mannar,Northern
Vaddakandal,Mannar,Northern
Vankalai,Mannar,Northern
Vellankulam,Mannar,Northern
Veppankulam,Mannar,Northern
Vidataltivu,Mannar,Northern
Mabola,Gampaha,Western
